ListingKey,Status,URL,Message,Timestamp
3yd-SANDICOR-180025217,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809635&listing=180025217,Successfully imported,
3yd-SANDICOR-180026813,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809635&listing=180026813,Successfully imported,
3yd-SANDICOR-180012142,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=632654&listing=180012142,Successfully imported,
3yd-SANDICOR-180025312,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631371&listing=180025312,Successfully imported,
3yd-SANDICOR-170063215,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=602908&listing=170063215,Successfully imported,
3yd-SANDICOR-180006603,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=600118&listing=180006603,Successfully imported,
3yd-SANDICOR-180018134,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=600118&listing=180018134,Successfully imported,
3yd-SANDICOR-180019768,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=602908&listing=180019768,Successfully imported,
3yd-SANDICOR-180019843,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=617214&listing=180019843,Successfully imported,
3yd-SANDICOR-180022235,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=602908&listing=180022235,Successfully imported,
3yd-SANDICOR-180024236,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=667836&listing=180024236,Successfully imported,
3yd-SANDICOR-180024640,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=617214&listing=180024640,Successfully imported,
3yd-SANDICOR-180025544,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=678143&listing=180025544,Successfully imported,
3yd-SANDICOR-180026273,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=678143&listing=180026273,Successfully imported,
3yd-SANDICOR-180006825,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=608439&listing=180006825,Successfully imported,
3yd-SANDICOR-180011355,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=601871&listing=180011355,Successfully imported,
3yd-SANDICOR-180020360,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=608439&listing=180020360,Successfully imported,
3yd-SANDICOR-180024213,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=608439&listing=180024213,Successfully imported,
3yd-SANDICOR-170022006,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631491&listing=170022006,Successfully imported,
3yd-SANDICOR-180003750,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=616889&listing=180003750,Successfully imported,
3yd-SANDICOR-180009023,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=616889&listing=180009023,Successfully imported,
3yd-SANDICOR-180019250,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=633043&listing=180019250,Successfully imported,
3yd-SANDICOR-180025919,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=616889&listing=180025919,Successfully imported,
